,precision,recall,f1-score,support
ADI,0.9752761704366123,0.9539490609724723,0.9644947327350761,3887.0
DEB,0.9559447983014862,0.9266786724980705,0.9410842586544742,3887.0
LYM,0.9567932067932068,0.9855930023154104,0.9709795970092511,3887.0
MUC,0.9231909113361324,0.9616670954463596,0.9420362903225806,3887.0
MUS,0.9681733083712223,0.9313094931824029,0.9493836873852609,3887.0
NOR,0.9255663430420712,0.9565217391304348,0.9407894736842105,3887.0
STR,0.9402866242038217,0.9114998713660921,0.9256694970607446,3887.0
TUM,0.9313750316535832,0.946231026498585,0.9387442572741195,3887.0
accuracy,0.9466812451762284,0.9466812451762284,0.9466812451762284,0.9466812451762284
macro avg,0.9470757992672669,0.9466812451762284,0.9466477242657148,31096.0
weighted avg,0.947075799267267,0.9466812451762284,0.9466477242657148,31096.0
