,precision,recall,f1-score,support
ADI,0.851150202976996,0.8095238095238095,0.8298153034300791,777.0
DEB,0.6980676328502415,0.7438867438867439,0.7202492211838006,777.0
LYM,0.8510362694300518,0.8444730077120822,0.847741935483871,778.0
MUC,0.7291414752116082,0.7760617760617761,0.7518703241895262,777.0
MUS,0.809052333804809,0.7352185089974294,0.7703703703703704,778.0
NOR,0.672979797979798,0.685971685971686,0.6794136392606756,777.0
STR,0.6947513812154696,0.6473616473616474,0.670219853431046,777.0
TUM,0.6590361445783133,0.7030848329048843,0.6803482587064676,778.0
accuracy,0.7432063032641903,0.7432063032641903,0.7432063032641903,0.7432063032641903
macro avg,0.7456519047559109,0.7431977515525073,0.7437536132569795,6219.0
weighted avg,0.7456651173356739,0.7432063032641903,0.7437644188084813,6219.0
