,precision,recall,f1-score,support
ADI,0.9867532467532467,0.9773604322099305,0.9820343802507432,3887.0
DEB,0.9757544493164818,0.9732441471571907,0.9744976816074189,3887.0
LYM,0.9772899318697956,0.9963982505788526,0.9867515923566879,3887.0
MUC,0.9605527638190955,0.9835348597890404,0.9719079700012712,3887.0
MUS,0.9850393700787402,0.9655261126833034,0.9751851370663895,3887.0
NOR,0.9710071210579858,0.9822485207100592,0.9765954725668244,3887.0
STR,0.9773803261441346,0.9560072034988423,0.9665756275198335,3887.0
TUM,0.9744976816074189,0.9732441471571907,0.9738705110052774,3887.0
accuracy,0.9759454592230512,0.9759454592230512,0.9759454592230512,0.9759454592230512
macro avg,0.9760343613308624,0.9759454592230512,0.9759272965468058,31096.0
weighted avg,0.9760343613308624,0.9759454592230512,0.9759272965468058,31096.0
