,precision,recall,f1-score,support
ADI,0.8342105263157895,0.8149100257069408,0.8244473342002601,389.0
DEB,0.6978021978021978,0.6529562982005142,0.6746347941567065,389.0
LYM,0.8156028368794326,0.8891752577319587,0.8508014796547472,388.0
MUC,0.7220902612826603,0.781491002570694,0.7506172839506173,389.0
MUS,0.853125,0.7017994858611826,0.770098730606488,389.0
NOR,0.6493506493506493,0.6443298969072165,0.6468305304010349,388.0
STR,0.6826196473551638,0.6966580976863753,0.6895674300254453,389.0
TUM,0.6642857142857143,0.7172236503856041,0.6897404202719407,389.0
accuracy,0.7372990353697749,0.7372990353697749,0.7372990353697749,0.7372990353697749
macro avg,0.739885854158951,0.7373179643813108,0.737092250408405,3110.0
weighted avg,0.7398906188605869,0.7372990353697749,0.7370847110163666,3110.0
