,precision,recall,f1-score,support
ADI,0.602017937219731,0.9195205479452054,0.7276422764227642,584.0
DEB,0.4536082474226804,0.1506849315068493,0.2262210796915167,584.0
LYM,0.4929328621908127,0.9554794520547946,0.6503496503496503,584.0
MUC,0.4384858044164038,0.476027397260274,0.45648604269293924,584.0
MUS,0.5786593707250342,0.7243150684931506,0.6433460076045627,584.0
NOR,0.583941605839416,0.136986301369863,0.22191400832177532,584.0
STR,0.5874439461883408,0.2243150684931507,0.3246592317224288,584.0
TUM,0.5637860082304527,0.7037671232876712,0.6260472201066261,584.0
accuracy,0.5363869863013698,0.5363869863013698,0.5363869863013698,0.5363869863013698
macro avg,0.537609472779109,0.5363869863013698,0.48458318961403296,4672.0
weighted avg,0.5376094727791089,0.5363869863013698,0.4845831896140329,4672.0
