,precision,recall,f1-score,support
ADI,0.577962577962578,0.952054794520548,0.7192755498059509,292.0
DEB,0.29102167182662536,0.3219178082191781,0.3056910569105691,292.0
LYM,0.4748700173310225,0.9383561643835616,0.6306098964326813,292.0
MUC,0.49583333333333335,0.4075342465753425,0.4473684210526316,292.0
MUS,0.5946969696969697,0.5376712328767124,0.564748201438849,292.0
NOR,0.2909090909090909,0.0547945205479452,0.09221902017291066,292.0
STR,0.3815789473684211,0.09931506849315068,0.15760869565217392,292.0
TUM,0.584375,0.6404109589041096,0.6111111111111112,292.0
accuracy,0.4940068493150685,0.4940068493150685,0.4940068493150685,0.4940068493150685
macro avg,0.4614059510535051,0.4940068493150685,0.4410789940721097,2336.0
weighted avg,0.46140595105350507,0.4940068493150685,0.4410789940721096,2336.0
