,precision,recall,f1-score,support
ADI,0.8095238095238095,0.785958904109589,0.7975673327541268,584.0
DEB,0.7417943107221007,0.5804794520547946,0.6512968299711815,584.0
LYM,0.6799037304452467,0.9674657534246576,0.7985865724381626,584.0
MUC,0.5218446601941747,0.7363013698630136,0.6107954545454546,584.0
MUS,0.6891117478510028,0.8236301369863014,0.750390015600624,584.0
NOR,0.6780684104627767,0.577054794520548,0.6234967622571693,584.0
STR,0.647196261682243,0.4743150684931507,0.5474308300395256,584.0
TUM,0.8432432432432433,0.5342465753424658,0.6540880503144654,584.0
accuracy,0.684931506849315,0.684931506849315,0.684931506849315,0.684931506849315
macro avg,0.7013357717655747,0.684931506849315,0.6792064809900887,4672.0
weighted avg,0.7013357717655747,0.684931506849315,0.6792064809900887,4672.0
